Tahun,Bulan,tgl,temp7,temp13,temp18,temp_avg,temp_24,temp_max,temp_min,CH,light_hour,light_per,pck,tgl,press,humid7,humid13,humid18,humid_avg,humid_24,ws_abg,mod_dir,max_ws,dir
2019,1,1.0,27.4,33.2,29.8,29.5,29.7,33.8,26.8,-,4.6,57.49999999999999,     ,1.0,1010.3,78.6505836125575,54.836446564128074,74.27096201770802,72.0,71.0,5.75,BL,10.0,290.0
2019,1,2.0,28.2,34.4,26.0,29.2,28.5,34.8,25.2,-,6.3,78.75,TS    ,2.0,1010.6,73.40380157973996,53.68666285089573,93.47656840107817,73.0,77.0,3.7916666666666665,B,16.0,340.0
2019,1,3.0,25.4,31.3,26.6,27.2,27.2,31.7,24.8,20.5,0.0,0.0,  RA  ,3.0,1011.4,94.20347210821006,64.95247934343949,87.31227976924256,85.0,83.0,2.875,B,12.0,330.0
2019,1,4.0,25.4,31.4,29.6,28.0,28.3,32.1,25.0,2.6,4.3,53.75,  RA  ,4.0,1012.5,91.76423123386563,66.24430228261507,76.86944439631735,82.0,82.0,3.0,U,12.0,360.0
2019,1,5.0,27.6,33.0,30.6,29.7,29.7,33.4,26.8,0.9,5.4,67.5,  RA  ,5.0,1014.1,86.08433224972319,60.26014815147468,70.13680564800549,76.0,76.0,3.5,U,15.0,350.0
2019,1,6.0,27.8,34.9,31.2,30.4,30.7,35.2,26.9,TTU,7.0,87.5,TS RA Lightning,6.0,1012.4,84.66016992712476,57.261489336940926,72.39479665599225,75.0,73.0,4.125,BL,13.0,10.0
2019,1,7.0,28.1,33.7,26.5,29.1,28.6,33.9,25.1,-,5.2,65.0,TS    ,7.0,1012.1,83.29435615193387,61.32960190958715,87.28417611042134,79.0,81.0,2.5,U,14.0,210.0
2019,1,8.0,25.9,33.6,31.4,29.2,30.0,34.7,25.8,10.5,6.0,75.0,  RA  ,8.0,1012.3,90.26397538441725,58.459408741925415,68.09715082424871,77.0,74.0,3.5,U,12.0,60.0
2019,1,9.0,28.0,32.4,30.2,29.7,29.7,34.6,27.0,TTU,5.3,66.25,  RA  ,9.0,1010.8,81.80335062722672,70.53599360653745,76.47554524506884,78.0,78.0,2.5833333333333335,U,10.0,330.0
2019,1,10.0,27.5,34.3,30.6,30.0,30.3,35.4,27.0,2.1,7.2,90.0,  RA  ,10.0,1011.6,83.07899862850904,58.97993847082304,70.77844325470129,74.0,73.0,3.125,U,14.0,360.0
2019,1,11.0,27.4,35.4,31.0,30.3,30.0,35.7,26.0,TTU,7.9,98.75,  RA  ,11.0,1010.5,82.3037605792764,54.4931779493871,73.57684986071314,73.0,74.0,2.5833333333333335,BL,14.0,360.0
2019,1,12.0,26.8,33.5,30.1,29.3,29.1,34.2,25.8,1,4.4,55.00000000000001,  RA  ,12.0,1010.9,87.36803915131289,57.82873831221078,71.7895335799344,76.0,76.0,2.375,U,13.0,350.0
2019,1,13.0,26.4,34.2,30.0,29.3,29.5,34.5,25.9,-,5.9,73.75,     ,13.0,1010.2,87.25592172444505,57.81341404547635,74.37439491091294,77.0,75.0,2.5833333333333335,U,13.0,10.0
2019,1,14.0,27.4,35.5,31.4,30.4,29.7,35.7,25.3,-,8.0,100.0,TS   Lightning,14.0,1009.1,83.78382675153738,52.52176779664999,71.23127823712667,73.0,76.0,3.7083333333333335,B,17.0,360.0
2019,1,15.0,26.4,35.0,27.6,28.9,28.8,35.7,25.2,5.6,7.5,93.75,TS RA  ,15.0,1008.6,86.48394160482556,54.175252372201854,85.33799824315096,78.0,79.0,5.0,B,17.0,90.0
2019,1,16.0,26.8,31.8,26.4,28.0,26.9,32.1,25.0,22.5,0.3,3.75,TS RA  ,16.0,1007.9,88.13596701456069,67.72628345631995,93.53442062998897,84.0,88.0,3.0,B,12.0,280.0
2019,1,17.0,26.7,31.6,27.3,28.1,27.3,32.0,24.1,42,3.1,38.75,TS RA  ,17.0,1008.2,86.57341089690401,70.08599291687322,91.33066155325706,84.0,87.0,3.8333333333333335,BL,13.0,300.0
2019,1,18.0,25.0,28.5,29.6,27.0,28.0,33.1,25.0,91.6,7.8,97.5,TS RA  ,18.0,1008.7,96.63886703674758,76.33826502408279,78.2359623324487,87.0,82.0,4.375,U,16.0,340.0
2019,1,19.0,25.8,32.6,25.6,27.5,27.4,32.8,25.4,30,5.3,66.25,TS RA  ,19.0,1009.1,93.44717431496541,65.8095985056604,95.04508007848057,87.0,88.0,2.125,TG,20.0,160.0
2019,1,20.0,26.4,34.0,27.6,28.6,28.5,34.2,25.4,65,6.9,86.25,TS RA  ,20.0,1009.5,93.53442062998897,58.75903264342234,89.0972680703221,84.0,84.0,4.0,BL,20.0,360.0
2019,1,21.0,25.9,34.4,28.4,28.7,28.9,34.6,25.8,19.3,6.1,76.25,  RA  ,21.0,1008.8,94.26872644264328,59.052860559579436,80.52370980548106,82.0,79.0,4.375,BL,20.0,300.0
2019,1,22.0,26.3,31.6,27.0,27.8,27.6,32.0,24.7,-,0.6,7.5,     ,22.0,1008.6,88.00406029414276,65.76366328791275,85.90249604768772,82.0,81.0,6.625,BL,24.0,320.0
2019,1,23.0,25.6,31.3,27.0,27.4,27.0,31.7,25.1,4.2,1.8,22.5,TS RA  ,23.0,1009.8,87.02432997894202,69.91255905885305,85.90249604768772,82.0,84.0,4.833333333333333,BL,16.0,300.0
2019,1,24.0,25.4,32.2,29.6,28.2,27.8,33.0,25.2,13.6,4.4,55.00000000000001,TS RA  ,24.0,1010.4,91.76423123386563,66.15307050418028,75.51297311970721,81.0,82.0,4.583333333333333,BL,19.0,190.0
2019,1,25.0,26.4,31.2,28.8,28.2,28.4,32.0,25.8,16,4.2,52.5,  RA  ,25.0,1010.6,85.71477167459545,71.75610541149318,75.7952037394281,80.0,79.0,6.25,BL,19.0,300.0
2019,1,26.0,26.8,31.2,28.8,28.4,28.7,33.0,25.8,-,3.9,48.75,     ,26.0,1010.3,85.8405878583193,71.11977636715183,79.27546788372959,81.0,79.0,4.875,BL,20.0,340.0
2019,1,27.0,26.4,29.4,26.6,27.2,27.0,31.0,25.0,-,0.5,6.25,     ,27.0,1010.0,87.25592172444505,78.14728097822254,87.31227976924256,85.0,86.0,3.3333333333333335,BL,19.0,320.0
2019,1,28.0,25.5,26.4,26.5,26.0,26.3,28.4,24.8,19.1,0.0,0.0,  RA  ,28.0,1010.2,93.4024856274489,88.80836197722951,88.83314673487679,91.0,89.0,2.9583333333333335,BL,15.0,320.0
2019,1,29.0,26.0,29.4,28.2,27.4,27.8,30.6,25.9,0.4,1.1,13.750000000000002,  RA  ,29.0,1011.5,90.28585167216603,75.41299607333552,80.44149476925925,84.0,84.0,3.2916666666666665,BL,15.0,350.0
2019,1,30.0,26.7,33.3,28.0,28.7,28.7,33.5,25.8,-,6.3,78.75,TS   Lightning,30.0,1011.8,88.88232117273685,59.914043977974416,88.43865189170356,82.0,82.0,2.375,U,16.0,360.0
2019,1,31.0,25.9,32.2,25.8,27.5,27.2,32.7,24.5,14.1,2.6,32.5,TS RA  ,31.0,1012.1,89.47175935574822,64.35584934422431,89.4479615547134,83.0,82.0,2.0,U,14.0,360.0
2019,2,1.0,25.5,33.7,25.1,27.5,27,33.9,24.4,11.1,6.2,77.5,TS RA  ,1.0,1011.8,89.37579119025656,60.766497791809634,95.81587030553548,84,86,2.375,BL,17,360
2019,2,2.0,25.4,32.8,24.9,27.1,26.8,33,24,80.8,5.7,71.25,TS RA  ,2.0,1011.7,94.20347210821006,62.41612122371,96.63109259840671,87,88,3.2916666666666665,S,20,130
2019,2,3.0,24.8,33.6,27.4,27.7,28.2,34.4,24.7,101,7.9,98.75,TS RA  ,3.0,1012.5,96.62327570662349,58.459408741925415,86.02435915620528,84,83,2.5,S,20,170
2019,2,4.0,26.1,34.5,24,27.7,27,34.7,23.2,13,6.2,77.5,TS RA  ,4.0,1011.5,91.09913483524412,55.887802474274665,91.49030389721446,82,84,3.4166666666666665,BL,19,220
2019,2,5.0,26.2,33.4,27.5,28.3,28.4,33.8,25.5,74.7,5.7,71.25,TS RA Lightning,5.0,1011.2,87.19895647395388,62.82940745134301,84.5612550786187,80,82,3.5833333333333335,BL,19,340
2019,2,6.0,26,33.1,29.4,28.6,28.3,33.4,25,9.8,6.1,76.25,  RA  ,6.0,1010.4,91.07916412062113,62.624292141188484,68.75058352877465,78,81,4.166666666666667,BL,16,170
2019,2,7.0,25.9,34,26.8,28.2,28.4,35.2,25.6,6.5,6.1,76.25,TS RA  ,7.0,1011.4,91.8571033297589,60.97823919749419,83.57023915739346,82,83,2.7916666666666665,BL,16,010
2019,2,8.0,26.1,32.7,29.9,28.7,28.7,33.5,25.5,7.8,6,75,TS RA  ,8.0,1011.2,92.69089060839856,61.18761377220371,74.32281093507183,80,81,3.0833333333333335,U,10,300
