publishedAt,authorDisplayName,comments_data,likeCount
2025-02-26T10:11:15Z,@gambardaerah,"Polemik Dugaan Pengoplosan Pertamax<br>Tonton video selengkapnya di: <a href=""https://www.youtube.com/watch?v=o38O4z9UNWQ&amp;t=2"">https://www.youtube.com/watch?v=o38O4z9UNWQ&amp;t=2s</a>",204
2025-02-26T20:06:45Z,@ratnasari2985,Hukum SE umur hidup ajh tuh di nusakmbangn,31
2025-02-27T01:25:50Z,@JokoPriyanto-ft7to,Pertamina sdh jadi sarang oknum garong,13
2025-02-27T03:17:06Z,@HusniAbubakar-zg8tq,"Perpu perampasan aset segera terbitkan jika serius mau Brantas korupsi,jangan setengah hati, ogah ogahan hanya dicibir rakyat biar tahu rasa miskinkan koruptor segera",12
2025-02-27T04:12:03Z,@Rorowindi-q6k,1000 % betul biar th rasanya duit pas2 an lg blm korupsi,6
2025-02-27T07:24:58Z,@restupangestu6499,"Lah soal hukum di Indonesia, cuma berlaku buat rakyat kecil yg tertindas,  kalo buat mereka yg korup mana percaya dngn hukum di Indonesia, ....SDH parah buruk dngn alasan HAM dan kemanusiaan 😮",5
2025-03-23T13:00:02Z,@RohmanRohman-t2y,SITA SEMUA ASET PARA KORUBTOR SENJATA SMPUH BIKIN KAPOK SEMUA.RUU D SAHKN. MANA MAHASEWA,0
2025-03-21T04:22:41Z,@AyunGranat,Alhamdulillah indonesia akhirnya punya president yg memang benar² berani tanggu..hidup pak prabowo gibran❤,0
2025-03-16T13:31:04Z,@adisandrasiregar9400,Tni polri tukang jual sabu<br>Makanya banyak korupsi narkoba bebas di indonesia,0
2025-03-15T09:58:28Z,@HelmiSulaiman-t8r,TANGKAP DAN TANGGAP JANGAN DIBIARKAN JANGAN SAMPAI LALAI JAUH SEDIKIT YANG ADA DIOTAK NYA YANG KORUPTOR HIDUP Bung KARNO,0
2025-03-14T08:03:04Z,@dishubaja,"Tembak mati sampe ke akar akarya pak prabowo, kalau di hukum, gak mempan,, duit banyak di bank2, lain, mafia",0
2025-03-13T21:30:04Z,@SKJ_TAEMSQUAD,"Erik Tohir kemana kok diem saja.<br>Eleh mau berantas kek gimana paling malah kerja sama, lambat Laun juga kan ilang ini kasus, karena petinggi2 dan petinggi elit dan DPR juga pada ikut itu kyek rantai saja. Indonesia ini kebanyakan prtai2 yang ngak jelas, ngak perlu di hukum mati ,perampasan aset berani ngak.",0
2025-03-13T20:17:49Z,@AllyAgusni,Dlu Belanda menjajah skrng Orng sendiri menjajah 😂😂,0
2025-03-13T01:23:08Z,@abunawanstrump74,Omon-omon,0
2025-03-12T10:05:48Z,@royqui4317,Patra niaga dibubarkan saja,0
2025-03-11T20:57:04Z,@Akinku-lj2tl,Harusnya koruptor di hukum mati,0
2025-03-11T15:46:13Z,@AhmadMila-vu5ok,Harus ada hukuman mati!,0
2025-03-11T15:45:04Z,@AhmadMila-vu5ok,Menyala president ku bravo Pak prabowo! Sikat terus koruptor tikus2 negri ini tak layak untuk hidup.,0
2025-03-11T15:43:35Z,@AhmadMila-vu5ok,Kenapa yg pake baju pink cuma 1 org??????,0
2025-03-11T15:04:53Z,@MuhammadKhoirulAnam-p4s,Matikan pak..rakyat mohon,0
2025-03-11T10:32:29Z,@Mohammadsyahid-i1d,Semuga melalui pak prabowo ini Allah bebaskan rakyat dari tipudaya pejabat jahat,1
2025-03-11T01:15:07Z,@RajaKriminal,Prabowo 😂😂 dikit2 rakyat .. bosen dengernya,0
2025-03-10T21:23:28Z,@marzzx3546,"Sidang terus,, hingga lupa kasus korupsi, bayar bayar bayar",0
