publishedAt,authorDisplayName,comments_data,likeCount
2025-03-14T03:00:29Z,@samirantn.4175,"Halah ahok pahlawan kesiangan, sudah ketangkap baru nyinyir koar kesana sini, tirak berani nyanyi karena ketum dan kader partai nya banyak yang tersangkut, pantas periode pak jokowi hingga prabowo RUU perampasan aset di hambat rupanya hanya takut di miskin kan, pak jokowi orang genius cerdas tidak bisa mengadili di jaman nya pinjam tangan pak prabowo-gibran pakai menabok para perampok uang takyat, pilihan pak jokowi sangat tepat dukung prabowo naik kan bintang empat ran dukung menjadi RI-1 suruh hancorkan mafia koroptor beri info para mafia nya di selesai kan prabowo sampai ke akar akar cucu cicit nya, jadi tertawa&#39;an pak jokowi, anies bakal kena giliran pas di sah kan hukuman mati dan di miskinkan, tamat anies dan ganjar, pak prabowo-gibran wajib dua periode agarafia koroptor ean ormas radikal bersih kalau perlu deportasi k negeri yaman, anies di hukum mati biyar anak wabah kadrunista meringis.",0
2025-03-14T02:03:44Z,@danialsamawi9948,😮,0
2025-03-14T01:45:24Z,@UsmanKaharudin,"Saya jadi ingat jaman Suharto ada harta gono gini Dirut Pertamina di Bank Singapura, Tabung gas dimonopoli yusuf kalla cs yg hanya bikin kaya segelintir orang ,sebagusnya kata Pak Ahok dibangun pipa gas pgn keperumahan perumahan",0
2025-03-14T01:45:10Z,@AfaAndi-o7h,Sebisa mungkin semua yg pak ahok cakapkan segera di wujudkan.<br>Agar semua rakyat tau kinerja pejabat2 kita di negeri ini.<br>Dan kalau perlu semua mulai detik ini harus ada hukum darurat.<br>Yaitu hukum mati buat koruptor,0
2025-03-14T01:45:00Z,@mayasanger,Luaaarrrr biasa Pak Ahok. Best,0
2025-03-14T01:36:13Z,@mayasanger,"Jahatnya para koruptor di negeri ini, mrk tidak pernah berfikir untuk kemajuan negeri ini, hanya mementingkan diri sendiri",0
2025-03-14T01:32:56Z,@DewaSudiawan-n7y,"Ayo rkyt NKRI dukung  Ahok untuk membasmi tukus2 berdasi diPertamina ..uang rakyat  1000 T ,rakusss sekali tikusnya",0
2025-03-14T01:22:05Z,@budarmini7373,Kalo jaksa agung  gak panggil ahok nanti ujuk2nya jadi awewe,0
2025-03-14T01:11:13Z,@AxelMarcellio-ex9yy,Maju pa ahok buka semua para koruptor yg buat negara rugi,0
2025-03-14T01:00:54Z,@AfaAndi-o7h,Indonesia tak perlu lagi cari pemimpin yg harus muslim.<br>Karna rata2 pemimpin muslim di indonesia banyak yg melakukan korupsi sekalipun di sumpah di atas alqur&#39;an.<br><br>Saya sangat mendukung orang seperti pak ahok ini menjadi pemimpin di negara kita.,1
2025-03-14T00:43:58Z,@zhulistasamaran1098,"Ini adalah salah satu contoh Orang yg berwawasan luas dan Berani mengambil peran penting untuk membangun negeri kita tercinta ini. <br>Saya salut dengan pemikirannya, materinya tidak membosankan dan semua penjelasannya mudah untuk di pahami. Andaipun ketika ia wafat pada waktunya, maka di diri saya pribadi beliau adalah salah satu Pahlawan Indonesia yg berperang untuk kesejahteraan masyarakat indonesia. ❤❤❤ terima kasih banyak pak Ahok. Semoga selalu Sehat dan di lancarkan segala urursannya.",0
2025-03-14T00:02:00Z,@estonrimon5133,Harusnya kita bersyukur ada org yg berani. Membongkar TPI..malah banyak yg kepanasan ....hahaaaa...banyak penjilat Ahok semangat..❤,0
2025-03-13T23:28:54Z,@khusnulamalia2235,"sebenarnya tanah indonesia wabil khusus diciptakan Allah negara subur makmur , kekayaanya kalau dikelola orang yg jujur tanggung , rakyat indonesia makmur semua tdk ada rakyat kelaparan walu diplosok",0
2025-03-13T23:25:28Z,@teddyponsel-RequestNomor,Menit2 terakhir ahok mau minum gak jadi2 😂,0
2025-03-13T23:19:59Z,@lubisaja6254,Presiden masa depan.,0
2025-03-13T22:35:31Z,@mbahsuro2086,"Andaikata Pak AHOK dijadikan Ketua KPK Pasti banyak Pejabat yang melakukan Korupsi Kabur Keluar Negeri dan Bersembunyi,..!!",0
2025-03-13T21:41:26Z,@Yihaaasikak,Ahok ampassss,0
2025-03-13T21:13:06Z,@krismantouhuy9273,"Ayo pak Ahok brilian buka berikan keterangan se jelas-jelasnya kpd kejagung agar kejagung membongkar sampai tuntas kasus korupsi Pertamina ke 7 org tersangka ini biadab penghianat nyolong duit negara dg meng oplos ron 90 jadi Pertamax 92 sudah gila perilaku tak bermoral, pengadilan mengadili ke 7 org tersangka ini secara terbuka agar rakyat NKRI melihat wajah, mendengar suara orang-orang tak punya malu 😡😡😡",0
2025-03-13T20:54:06Z,@aryaprima6889,Omon omon aje lu hok... Nyatanya kejagung lebih tau dari lo ati ati hok tar keseret jga,0
2025-03-13T20:43:01Z,@teddyponsel-RequestNomor,Kalau motor ngisi seminggu 2 atau 3x dianggap bokek saya kurang setuju sih. Bisa aja orang tsb sebenernya orang berada dan jarang pakai motor.<br>😊,0
2025-03-13T20:02:50Z,@jayasanjayasanjaya5235,"Jangan takut pak AHOK sebut sajah Pertamina mau dikuasai oleh penguasa sekarang, mau diambil alih sama PR*BOWO🙏",0
2025-03-13T19:53:56Z,@damarianaedoway1972,"Orang Jujur. Emang sudah dari dulu, tapi sebagian orang Indo masih gelap mata. Ahok🫶🏽",0
2025-03-13T18:03:03Z,@christiantokustiawan1311,Pak ahok .. you are the right man for sure ! 👍,0
2025-03-13T17:51:39Z,@argatrihandono2356,Dari sini sudah tau kan? 😅,0
2025-03-13T17:46:31Z,@AufaSauqi-w2f,"Warga konoha mmg lucu, maling diteriakin, jujur dinyinyirin, agama dimabokin 😂",0
